resource,horizon,variant,n_feat,rmse,skill,naive,delta_vs_all,pruned_features
oil,21,ALL,229,3.7801091078318305,0.9757423834453499,3.874085180643944,,
oil,21,minus_own_lags,196,3.8153936030902997,0.9848502098387294,3.874085180643944,0.03528449525846922,
oil,21,minus_own_rolling,172,3.6963127643914353,0.9541124141666499,3.874085180643944,-0.08379634344039522,
oil,21,minus_own_momentum,200,3.7595368514948495,0.9704321604177908,3.874085180643944,-0.02057225633698101,
oil,21,minus_calendar,223,3.79999077684321,0.9808743483052642,3.874085180643944,0.019881669011379444,
oil,21,minus_cross_resource,164,3.910031468597211,1.0092786519338464,3.874085180643944,0.12992236076538033,
oil,21,minus_fx,221,3.774349922918578,0.9742557912191316,3.874085180643944,-0.0057591849132525574,
oil,21,minus_external_macro,198,3.9481836739396314,1.0191267072974814,3.874085180643944,0.16807456610780092,
oil,21,PRUNED,30,3.7279366475768096,0.9622753434030479,3.874085180643944,-0.05217246025502087,"[""coal_vol_6m"", ""ratio_own_steel"", ""own_lag_14"", ""coal_ret_3m"", ""own_z_14"", ""steel_vol_21"", ""iron_ore_mean_3m"", ""own_std_45"", ""own_vol_ratio"", ""aluminium_z_7"", ""cbe_days_since_change"", ""oil_egp"", ""own_lag_30"", ""own_lag_2"", ""own_mom_7"", ""own_rsi_14"", ""own_z_5"", ""own_vol_14"", ""own_ret_lag_60"", ""own_mom_60"", ""iron_ore_ret_1m"", ""natgas_vol_6m"", ""own_min_5"", ""ratio_own_aluminium_z21"", ""aluminium_z_21"", ""own_max_45"", ""own_dist_low_7"", ""own_ret_lag_30"", ""ratio_own_copper_z21"", ""own_ret_lag_21""]"
aluminium,1,ALL,229,30.63355669763957,1.0817547867379556,28.31839255365389,,
aluminium,1,minus_own_lags,196,31.396020165683204,1.1086794600434413,28.31839255365389,0.7624634680436344,
aluminium,1,minus_own_rolling,172,30.306613808585183,1.070209537888292,28.31839255365389,-0.3269428890543864,
aluminium,1,minus_own_momentum,200,30.469713377156012,1.075969030354604,28.31839255365389,-0.16384332048355787,
aluminium,1,minus_calendar,223,30.759807407906038,1.0862130450952145,28.31839255365389,0.1262507102664685,
aluminium,1,minus_cross_resource,164,31.44737704189602,1.1104930119996659,28.31839255365389,0.8138203442564489,
aluminium,1,minus_fx,221,30.570330416766016,1.079522093595018,28.31839255365389,-0.06322628087355397,
aluminium,1,minus_external_macro,198,31.181064686665003,1.1010887933553186,28.31839255365389,0.5475079890254335,
